City,Country,Year,Population
Huainan,China,1950.0,500000.0
Huzhou,China,1950.0,680000.0
Jiamusi,China,1950.0,220000.0
Jiaozuo,China,1950.0,210000.0
Jiaxing,China,1950.0,450000.0
Jilin,China,1950.0,400000.0
"Jinan, Shandong",China,1950.0,600000.0
"Jining, Shandong",China,1950.0,260000.0
"Jinxi, Liaoning",China,1950.0,230000.0
Jinzhou,China,1950.0,330000.0
"Jixi, Heilongjiang",China,1950.0,180000.0
Kaifeng,China,1950.0,350000.0
Kaohsiung,China,1950.0,260000.0
Kunming,China,1950.0,640000.0
Langfang,China,1950.0,60000.0
Lanzhou,China,1950.0,350000.0
Leshan,China,1950.0,600000.0
Lianyungang,China,1950.0,120000.0
Liaoyang,China,1950.0,110000.0
Linfen,China,1950.0,100000.0
"Linyi, Shandong",China,1950.0,410000.0
Liuan,China,1950.0,860000.0
Liupanshui,China,1950.0,400000.0
Liuzhou,China,1950.0,140000.0
Luoyang,China,1950.0,390000.0
Luzhou,China,1950.0,90000.0
"Mianyang, Sichuan",China,1950.0,480000.0
Mudanjiang,China,1950.0,210000.0
Nanchang,China,1950.0,340000.0
Nanchong,China,1950.0,110000.0
"Nanjing, Jiangsu",China,1950.0,970000.0
Nanning,China,1950.0,170000.0
Nantong,China,1950.0,180000.0
"Nanyang, Henan",China,1950.0,80000.0
Neijiang,China,1950.0,140000.0
Ningbo,China,1950.0,470000.0
"Pingdingshan, Henan",China,1950.0,160000.0
"Pingxiang, Jiangxi",China,1950.0,170000.0
Qingdao,China,1950.0,890000.0
Qinhuangdao,China,1950.0,150000.0
Qiqihaer,China,1950.0,720000.0
Quanzhou,China,1950.0,220000.0
Shanghai,China,1950.0,6070000.0
Shangqiu,China,1950.0,60000.0
Shantou,China,1950.0,320000.0
Shaoxing,China,1950.0,60000.0
Shenyang,China,1950.0,2090000.0
Shenzhen,China,1950.0,170000.0
Shijiazhuang,China,1950.0,340000.0
"Suining, Sichuan",China,1950.0,760000.0
"Suzhou, Anhui",China,1950.0,60000.0
"Suzhou, Jiangsu",China,1950.0,460000.0
"Taian, Shandong",China,1950.0,830000.0
Taichung,China,1950.0,190000.0
Tainan,China,1950.0,310000.0
Taipei,China,1950.0,600000.0
"Taiyuan, Shanxi",China,1950.0,630000.0
"Tangshan, Hebei",China,1950.0,640000.0
Tianjin,China,1950.0,2370000.0
Tianmen,China,1950.0,1070000.0
Tianshui,China,1950.0,160000.0
Tongliao,China,1950.0,110000.0
rmqi (Wulumqi),China,1950.0,250000.0
Weifang,China,1950.0,180000.0
Wenzhou,China,1950.0,260000.0
Wuhan,China,1950.0,1310000.0
"Wuhu, Anhui",China,1950.0,210000.0
"Wuxi, Jiangsu",China,1950.0,570000.0
Xiamen,China,1950.0,210000.0
"Xi'an, Shaanxi",China,1950.0,710000.0
"Xiangfan, Hubei",China,1950.0,100000.0
Xiantao,China,1950.0,1000000.0
"Xianyang, Shaanxi",China,1950.0,100000.0
"Xingyi, Guizhou",China,1950.0,280000.0
Xining,China,1950.0,260000.0
Xinxiang,China,1950.0,240000.0
Xinyang,China,1950.0,90000.0
Xinyu,China,1950.0,230000.0
Xuanzhou,China,1950.0,590000.0
Xuzhou,China,1950.0,340000.0
"Yancheng, Jiangsu",China,1950.0,140000.0
Yantai,China,1950.0,190000.0
Yibin,China,1950.0,80000.0
Yichang,China,1950.0,110000.0
"Yichun, Heilongjiang",China,1950.0,550000.0
"Yichun, Jiangxi",China,1950.0,340000.0
Yinchuan,China,1950.0,100000.0
Yingkou,China,1950.0,120000.0
"Yiyang, Hunan",China,1950.0,400000.0
Yongzhou,China,1950.0,840000.0
Yuci,China,1950.0,90000.0
Yueyang,China,1950.0,670000.0
"Yulin, Guangxi",China,1950.0,190000.0
Zaozhuang,China,1950.0,280000.0
Zhangjiakou,China,1950.0,300000.0
Zhanjiang,China,1950.0,410000.0
Zhaotong,China,1950.0,130000.0
Zhengzhou,China,1950.0,520000.0
"Zhenjiang, Jiangsu",China,1950.0,90000.0
Zhuhai,China,1950.0,40000.0
Zhuzhou,China,1950.0,130000.0
Zibo,China,1950.0,1450000.0
Zigong,China,1950.0,560000.0
Zunyi,China,1950.0,200000.0
Barranquilla,Colombia,1950.0,290000.0
Bogot,Colombia,1950.0,630000.0
Bucaramanga,Colombia,1950.0,110000.0
Cali,Colombia,1950.0,230000.0
Cartagena,Colombia,1950.0,110000.0
Medelln,Colombia,1950.0,380000.0
Brazzaville,Congo,1950.0,80000.0
Kananga,Democratic Republic of the Congo,1950.0,20000.0
Kinshasa,Democratic Republic of the Congo,1950.0,200000.0
Lubumbashi,Democratic Republic of the Congo,1950.0,100000.0
Mbuji-Mayi,Democratic Republic of the Congo,1950.0,70000.0
San Jos,Costa Rica,1950.0,150000.0
La Habana,Cuba,1950.0,1120000.0
Praha,Czech Republic,1950.0,940000.0
Cotonou,Benin,1950.0,20000.0
K¿benhavn,Denmark,1950.0,1220000.0
Santo Domingo,Dominican Republic,1950.0,220000.0
Guayaquil,Ecuador,1950.0,260000.0
Quito,Ecuador,1950.0,210000.0
San Salvador,El Salvador,1950.0,190000.0
Addis Ababa,Ethiopia,1950.0,390000.0
Huambo,Angola,1950.0,20000.0
Luanda,Angola,1950.0,140000.0
Helsinki,Finland,1950.0,370000.0
Bordeaux,France,1950.0,430000.0
Lille,France,1950.0,750000.0
Lyon,France,1950.0,730000.0
Marseille-Aix-en-Provence,France,1950.0,760000.0
Nice-Cannes,France,1950.0,400000.0
Paris,France,1950.0,6520000.0
Toulouse,France,1950.0,270000.0
Tbilisi,Georgia,1950.0,610000.0
Berlin,Germany,1950.0,3350000.0
Hamburg,Germany,1950.0,1610000.0
Kln,Germany,1950.0,600000.0
Mnchen,Germany,1950.0,830000.0
Accra,Ghana,1950.0,180000.0
Kumasi,Ghana,1950.0,100000.0
Athnai,Greece,1950.0,1350000.0
Thessaloniki,Greece,1950.0,290000.0
Baku,Azerbaijan,1950.0,900000.0
Buenos Aires,Argentina,1950.0,5100000.0
Crdoba,Argentina,1950.0,430000.0
Mendoza,Argentina,1950.0,250000.0
Rosario,Argentina,1950.0,550000.0
San Miguel de Tucumn,Argentina,1950.0,220000.0
Ciudad de Guatemala (Guatemala City),Guatemala,1950.0,290000.0
Conakry,Guinea,1950.0,30000.0
Port-au-Prince,Haiti,1950.0,130000.0
Tegucigalpa,Honduras,1950.0,70000.0
Hong Kong,"China, Hong Kong Special Administrative Region",1950.0,1680000.0
Budapest,Hungary,1950.0,1620000.0
Agra,India,1950.0,370000.0
Ahmadabad,India,1950.0,860000.0
Aligarh,India,1950.0,140000.0
Allahabad,India,1950.0,330000.0
Amritsar,India,1950.0,340000.0
Asansol,India,1950.0,90000.0
Aurangabad,India,1950.0,60000.0
Bangalore,India,1950.0,750000.0
Bareilly,India,1950.0,210000.0
Bhiwandi,India,1950.0,20000.0
Bhopal,India,1950.0,100000.0
Bhubaneswar,India,1950.0,20000.0
Chandigarh,India,1950.0,40000.0
Chennai,India,1950.0,1490000.0
Coimbatore,India,1950.0,280000.0
Delhi,India,1950.0,1370000.0
Dhanbad,India,1950.0,70000.0
Durg-Bhilainagar,India,1950.0,20000.0
Faridabad,India,1950.0,20000.0
Ghaziabad,India,1950.0,40000.0
Guwahati,India,1950.0,40000.0
Gwalior,India,1950.0,240000.0
Hubli-Dharwad,India,1950.0,190000.0
Hyderabad,India,1950.0,1100000.0
Indore,India,1950.0,300000.0
Jabalpur,India,1950.0,250000.0
Jaipur,India,1950.0,290000.0
Jalandhar,India,1950.0,170000.0
Jammu,India,1950.0,80000.0
Jamshedpur,India,1950.0,210000.0
Jodhpur,India,1950.0,180000.0
Kanpur,India,1950.0,690000.0
Kochi,India,1950.0,160000.0
Kolkata,India,1950.0,4510000.0
Kota,India,1950.0,60000.0
Kozhikode,India,1950.0,160000.0
Lucknow,India,1950.0,490000.0
Ludhiana,India,1950.0,150000.0
Madurai,India,1950.0,360000.0
Meerut,India,1950.0,230000.0
Moradabad,India,1950.0,160000.0
Mumbai,India,1950.0,2860000.0
Mysore,India,1950.0,240000.0
Nagpur,India,1950.0,470000.0
Nashik,India,1950.0,150000.0
Patna,India,1950.0,280000.0
Pune,India,1950.0,580000.0
Raipur,India,1950.0,90000.0
Rajkot,India,1950.0,130000.0
Ranchi,India,1950.0,100000.0
Salem,India,1950.0,200000.0
Solapur,India,1950.0,270000.0
Srinagar,India,1950.0,250000.0
Surat,India,1950.0,230000.0
Thiruvananthapuram,India,1950.0,180000.0
Tiruchirappalli,India,1950.0,290000.0
Vadodara,India,1950.0,210000.0
Varanasi,India,1950.0,350000.0
Vijayawada,India,1950.0,160000.0
Visakhapatnam,India,1950.0,100000.0
Adelaide,Australia,1950.0,430000.0
Brisbane,Australia,1950.0,440000.0
Melbourne,Australia,1950.0,1330000.0
Perth,Australia,1950.0,310000.0
Sydney,Australia,1950.0,1690000.0
Bandar Lampung,Indonesia,1950.0,30000.0
Bandung,Indonesia,1950.0,510000.0
Bogor,Indonesia,1950.0,110000.0
Jakarta,Indonesia,1950.0,1450000.0
Malang,Indonesia,1950.0,210000.0
Medan,Indonesia,1950.0,280000.0
Padang,Indonesia,1950.0,100000.0
Palembang,Indonesia,1950.0,280000.0
Pekan Baru,Indonesia,1950.0,40000.0
Semarang,Indonesia,1950.0,370000.0
Surabaya,Indonesia,1950.0,680000.0
Ujung Pandang,Indonesia,1950.0,220000.0
Ahvaz,Iran (Islamic Republic of),1950.0,80000.0
Esfahan,Iran (Islamic Republic of),1950.0,180000.0
Karaj,Iran (Islamic Republic of),1950.0,10000.0
Kermanshah,Iran (Islamic Republic of),1950.0,100000.0
Mashhad,Iran (Islamic Republic of),1950.0,170000.0
Qom,Iran (Islamic Republic of),1950.0,80000.0
Shiraz,Iran (Islamic Republic of),1950.0,130000.0
Tabriz,Iran (Islamic Republic of),1950.0,240000.0
Tehran,Iran (Islamic Republic of),1950.0,1040000.0
Al-Basrah,Iraq,1950.0,120000.0
Al-Mawsil,Iraq,1950.0,140000.0
Baghdad,Iraq,1950.0,580000.0
Irbil,Iraq,1950.0,30000.0
Dublin,Ireland,1950.0,630000.0
Hefa,Israel,1950.0,200000.0
Tel Aviv-Yafo,Israel,1950.0,420000.0
Milano,Italy,1950.0,1880000.0
Napoli,Italy,1950.0,1500000.0
Palermo,Italy,1950.0,590000.0
Rome,Italy,1950.0,1880000.0
Torino,Italy,1950.0,1010000.0
Abidjan,Cte d'Ivoire,1950.0,60000.0
Fukuoka-Kitakyushu,Japan,1950.0,950000.0
Hiroshima,Japan,1950.0,500000.0
Kyoto,Japan,1950.0,1000000.0
Nagoya,Japan,1950.0,990000.0
Osaka-Kobe,Japan,1950.0,4150000.0
Sapporo,Japan,1950.0,750000.0
Sendai,Japan,1950.0,540000.0
Tokyo,Japan,1950.0,11280000.0
Almaty,Kazakhstan,1950.0,350000.0
Kabul,Afghanistan,1950.0,130000.0
Wien,Austria,1950.0,2090000.0
Amman,Jordan,1950.0,90000.0
Mombasa,Kenya,1950.0,90000.0
Nairobi,Kenya,1950.0,140000.0
Hamhung,Democratic People's Republic of Korea,1950.0,170000.0
N'ampo,Democratic People's Republic of Korea,1950.0,50000.0
P'yongyang,Democratic People's Republic of Korea,1950.0,520000.0
Bucheon,Republic of Korea,1950.0,30000.0
Busan,Republic of Korea,1950.0,950000.0
Daegu,Republic of Korea,1950.0,360000.0
Daejon,Republic of Korea,1950.0,130000.0
Goyang,Republic of Korea,1950.0,40000.0
Gwangju,Republic of Korea,1950.0,170000.0
Incheon,Republic of Korea,1950.0,260000.0
Seongnam,Republic of Korea,1950.0,50000.0
Seoul,Republic of Korea,1950.0,1020000.0
Suweon,Republic of Korea,1950.0,70000.0
Ulsan,Republic of Korea,1950.0,30000.0
Al Kuwayt (Kuwait City),Kuwait,1950.0,60000.0
Bishkek,Kyrgyzstan,1950.0,150000.0
Bayrut,Lebanon,1950.0,320000.0
Monrovia,Liberia,1950.0,20000.0
Banghazi,Libyan Arab Jamahiriya,1950.0,50000.0
Tarabulus,Libyan Arab Jamahiriya,1950.0,110000.0
Antananarivo,Madagascar,1950.0,180000.0
Johore Bharu,Malaysia,1950.0,50000.0
Klang,Malaysia,1950.0,40000.0
Kuala Lumpur,Malaysia,1950.0,210000.0
Bamako,Mali,1950.0,90000.0
Aguascalientes,Mexico,1950.0,90000.0
Chihuahua,Mexico,1950.0,90000.0
Ciudad de Mxico,Mexico,1950.0,2880000.0
Ciudad Jurez,Mexico,1950.0,120000.0
Culiacn,Mexico,1950.0,50000.0
Guadalajara,Mexico,1950.0,400000.0
Len de los Aldamas,Mexico,1950.0,120000.0
Mrida,Mexico,1950.0,140000.0
Mexicali,Mexico,1950.0,70000.0
Monterrey,Mexico,1950.0,360000.0
Puebla,Mexico,1950.0,230000.0
Quertaro,Mexico,1950.0,50000.0
Saltillo,Mexico,1950.0,70000.0
San Luis Potos,Mexico,1950.0,130000.0
Tijuana,Mexico,1950.0,60000.0
Toluca de Lerdo,Mexico,1950.0,50000.0
Torren,Mexico,1950.0,190000.0
Ulaanbaatar,Mongolia,1950.0,70000.0
Chittagong,Bangladesh,1950.0,290000.0
Dhaka,Bangladesh,1950.0,340000.0
Khulna,Bangladesh,1950.0,40000.0
Rajshahi,Bangladesh,1950.0,40000.0
Dar-el-Beida,Morocco,1950.0,620000.0
Fs,Morocco,1950.0,160000.0
Marrakech,Morocco,1950.0,210000.0
Rabat,Morocco,1950.0,140000.0
Maputo,Mozambique,1950.0,90000.0
Yerevan,Armenia,1950.0,340000.0
Kathmandu,Nepal,1950.0,100000.0
Amsterdam,Netherlands,1950.0,850000.0
Rotterdam,Netherlands,1950.0,760000.0
Auckland,New Zealand,1950.0,320000.0
Managua,Nicaragua,1950.0,110000.0
Antwerpen,Belgium,1950.0,760000.0
Bruxelles-Brussel,Belgium,1950.0,1420000.0
Niamey,Niger,1950.0,20000.0
Abuja,Nigeria,1950.0,20000.0
Benin City,Nigeria,1950.0,50000.0
Ibadan,Nigeria,1950.0,420000.0
Ilorin,Nigeria,1950.0,110000.0
Kaduna,Nigeria,1950.0,30000.0
Kano,Nigeria,1950.0,120000.0
Lagos,Nigeria,1950.0,300000.0
Maiduguri,Nigeria,1950.0,50000.0
Ogbomosho,Nigeria,1950.0,120000.0
Port Harcourt,Nigeria,1950.0,60000.0
Zaria,Nigeria,1950.0,50000.0
Oslo,Norway,1950.0,470000.0
Faisalabad,Pakistan,1950.0,170000.0
Gujranwala,Pakistan,1950.0,120000.0
Hyderabad,Pakistan,1950.0,230000.0
Islamabad,Pakistan,1950.0,40000.0
Karachi,Pakistan,1950.0,1060000.0
Lahore,Pakistan,1950.0,840000.0
Multan,Pakistan,1950.0,190000.0
Peshawar,Pakistan,1950.0,150000.0
Quetta,Pakistan,1950.0,80000.0
Rawalpindi,Pakistan,1950.0,230000.0
Ciudad de Panam (Panama City),Panama,1950.0,170000.0
Asuncin,Paraguay,1950.0,260000.0
Arequipa,Peru,1950.0,130000.0
Lima,Peru,1950.0,1070000.0
Cebu,Philippines,1950.0,180000.0
Davao,Philippines,1950.0,120000.0
Manila,Philippines,1950.0,1540000.0
Zamboanga,Philippines,1950.0,110000.0
Krakw,Poland,1950.0,340000.0
Ldz,Poland,1950.0,610000.0
Warszawa,Poland,1950.0,770000.0
Lisboa,Portugal,1950.0,1300000.0
Porto,Portugal,1950.0,730000.0
San Juan,Puerto Rico,1950.0,450000.0
Bucuresti,Romania,1950.0,650000.0
Chelyabinsk,Russian Federation,1950.0,570000.0
Kazan,Russian Federation,1950.0,510000.0
Krasnoyarsk,Russian Federation,1950.0,290000.0
Moskva,Russian Federation,1950.0,5360000.0
Nizhniy Novgorod,Russian Federation,1950.0,800000.0
Novosibirsk,Russian Federation,1950.0,720000.0
Omsk,Russian Federation,1950.0,440000.0
Perm,Russian Federation,1950.0,500000.0
Rostov-na-Donu,Russian Federation,1950.0,480000.0
Samara,Russian Federation,1950.0,660000.0
Sankt Peterburg,Russian Federation,1950.0,2900000.0
Saratov,Russian Federation,1950.0,470000.0
Ufa,Russian Federation,1950.0,420000.0
Volgograd,Russian Federation,1950.0,460000.0
Voronezh,Russian Federation,1950.0,330000.0
Yekaterinburg,Russian Federation,1950.0,630000.0
Kigali,Rwanda,1950.0,20000.0
La Paz,Bolivia,1950.0,320000.0
Santa Cruz,Bolivia,1950.0,40000.0
Ad-Dammam,Saudi Arabia,1950.0,20000.0
Al-Madinah,Saudi Arabia,1950.0,50000.0
Ar-Riyadh,Saudi Arabia,1950.0,110000.0
Jiddah,Saudi Arabia,1950.0,120000.0
Makkah,Saudi Arabia,1950.0,150000.0
Dakar,Senegal,1950.0,210000.0
Beograd,Serbia,1950.0,410000.0
Freetown,Sierra Leone,1950.0,90000.0
Singapore,Singapore,1950.0,1020000.0
H Noi,Viet Nam,1950.0,280000.0
Hai Phng,Viet Nam,1950.0,170000.0
Thnh Pho Ho Ch Minh,Viet Nam,1950.0,1210000.0
Muqdisho,Somalia,1950.0,70000.0
Cape Town,South Africa,1950.0,620000.0
Durban,South Africa,1950.0,480000.0
Ekurhuleni,South Africa,1950.0,550000.0
Johannesburg,South Africa,1950.0,900000.0
Port Elizabeth,South Africa,1950.0,190000.0
Pretoria,South Africa,1950.0,280000.0
Vereeniging,South Africa,1950.0,120000.0
Harare,Zimbabwe,1950.0,140000.0
Barcelona,Spain,1950.0,1810000.0
Madrid,Spain,1950.0,1700000.0
Valencia,Spain,1950.0,510000.0
Al-Khartum,Sudan,1950.0,180000.0
Stockholm,Sweden,1950.0,740000.0
Zrich,Switzerland,1950.0,490000.0
Baixada Santista,Brazil,1950.0,250000.0
Belm,Brazil,1950.0,240000.0
Belo Horizonte,Brazil,1950.0,410000.0
Braslia,Brazil,1950.0,40000.0
Campinas,Brazil,1950.0,150000.0
Campo Grande,Brazil,1950.0,30000.0
Cuiab,Brazil,1950.0,30000.0
Curitiba,Brazil,1950.0,160000.0
Florianpolis,Brazil,1950.0,70000.0
Fortaleza,Brazil,1950.0,260000.0
Goinia,Brazil,1950.0,50000.0
Grande So Lus,Brazil,1950.0,120000.0
Grande Vitria,Brazil,1950.0,80000.0
Joo Pessoa,Brazil,1950.0,120000.0
Macei,Brazil,1950.0,120000.0
Manaus,Brazil,1950.0,90000.0
Natal,Brazil,1950.0,110000.0
Norte/Nordeste Catarinense,Brazil,1950.0,60000.0
Prto Alegre,Brazil,1950.0,490000.0
Recife,Brazil,1950.0,660000.0
Rio de Janeiro,Brazil,1950.0,2950000.0
Salvador,Brazil,1950.0,400000.0
So Paulo,Brazil,1950.0,2330000.0
Teresina,Brazil,1950.0,50000.0
Dimashq,Syrian Arab Republic,1950.0,370000.0
Halab,Syrian Arab Republic,1950.0,320000.0
Hims,Syrian Arab Republic,1950.0,100000.0
Krung Thep,Thailand,1950.0,1360000.0
Lom,Togo,1950.0,30000.0
Dubayy,United Arab Emirates,1950.0,20000.0
Adana,Turkey,1950.0,140000.0
Ankara,Turkey,1950.0,280000.0
Antalya,Turkey,1950.0,30000.0
Bursa,Turkey,1950.0,150000.0
Gaziantep,Turkey,1950.0,100000.0
Istanbul,Turkey,1950.0,970000.0
Izmir,Turkey,1950.0,220000.0
Konya,Turkey,1950.0,100000.0
Kampala,Uganda,1950.0,100000.0
Dnipropetrovs'k,Ukraine,1950.0,540000.0
Donets'k,Ukraine,1950.0,580000.0
Kharkiv,Ukraine,1950.0,760000.0
Kyiv,Ukraine,1950.0,820000.0
Odesa,Ukraine,1950.0,530000.0
Zaporizhzhya,Ukraine,1950.0,320000.0
Al-Iskandariyah,Egypt,1950.0,1040000.0
Al-Qahirah,Egypt,1950.0,2490000.0
Birmingham,United Kingdom,1950.0,2230000.0
Glasgow,United Kingdom,1950.0,1760000.0
Liverpool,United Kingdom,1950.0,1380000.0
London,United Kingdom,1950.0,8360000.0
Manchester,United Kingdom,1950.0,2420000.0
Newcastle upon Tyne,United Kingdom,1950.0,910000.0
West Yorkshire,United Kingdom,1950.0,1690000.0
Dar es Salaam,United Republic of Tanzania,1950.0,70000.0
Atlanta,United States of America,1950.0,510000.0
Austin,United States of America,1950.0,140000.0
Baltimore,United States of America,1950.0,1170000.0
Boston,United States of America,1950.0,2550000.0
Bridgeport-Stamford,United States of America,1950.0,420000.0
Buffalo,United States of America,1950.0,900000.0
Charlotte,United States of America,1950.0,140000.0
Chicago,United States of America,1950.0,5000000.0
Cincinnati,United States of America,1950.0,880000.0
Cleveland,United States of America,1950.0,1390000.0
"Columbus, Ohio",United States of America,1950.0,440000.0
Dallas-Fort Worth,United States of America,1950.0,870000.0
Dayton,United States of America,1950.0,350000.0
Denver-Aurora,United States of America,1950.0,500000.0
Detroit,United States of America,1950.0,2770000.0
El Paso,United States of America,1950.0,140000.0
Hartford,United States of America,1950.0,420000.0
Honolulu,United States of America,1950.0,250000.0
Houston,United States of America,1950.0,710000.0
Indianapolis,United States of America,1950.0,500000.0
"Jacksonville, Florida",United States of America,1950.0,250000.0
Kansas City,United States of America,1950.0,700000.0
Las Vegas,United States of America,1950.0,40000.0
Los Angeles-Long Beach-Santa Ana,United States of America,1950.0,4050000.0
Louisville,United States of America,1950.0,480000.0
Memphis,United States of America,1950.0,410000.0
Miami,United States of America,1950.0,620000.0
Milwaukee,United States of America,1950.0,840000.0
Minneapolis-St. Paul,United States of America,1950.0,1000000.0
Nashville-Davidson,United States of America,1950.0,260000.0
New Orleans,United States of America,1950.0,660000.0
New York-Newark,United States of America,1950.0,12340000.0
Oklahoma City,United States of America,1950.0,280000.0
Orlando,United States of America,1950.0,80000.0
Philadelphia,United States of America,1950.0,3130000.0
Phoenix-Mesa,United States of America,1950.0,220000.0
Pittsburgh,United States of America,1950.0,1540000.0
Portland,United States of America,1950.0,520000.0
Providence,United States of America,1950.0,700000.0
Richmond,United States of America,1950.0,260000.0
Riverside-San Bernardino,United States of America,1950.0,140000.0
Rochester,United States of America,1950.0,410000.0
Sacramento,United States of America,1950.0,220000.0
Salt Lake City,United States of America,1950.0,230000.0
San Antonio,United States of America,1950.0,450000.0
San Diego,United States of America,1950.0,440000.0
San Francisco-Oakland,United States of America,1950.0,1860000.0
San Jose,United States of America,1950.0,180000.0
Seattle,United States of America,1950.0,800000.0
St. Louis,United States of America,1950.0,1410000.0
Tampa-St. Petersburg,United States of America,1950.0,300000.0
Tucson,United States of America,1950.0,80000.0
Virginia Beach,United States of America,1950.0,390000.0
"Washington, D.C.",United States of America,1950.0,1300000.0
Ouagadougou,Burkina Faso,1950.0,30000.0
Montevideo,Uruguay,1950.0,1210000.0
Tashkent,Uzbekistan,1950.0,760000.0
Barquisimeto,Venezuela (Bolivarian Republic of),1950.0,130000.0
Caracas,Venezuela (Bolivarian Republic of),1950.0,690000.0
Maracaibo,Venezuela (Bolivarian Republic of),1950.0,280000.0
Maracay,Venezuela (Bolivarian Republic of),1950.0,60000.0
Valencia,Venezuela (Bolivarian Republic of),1950.0,130000.0
Al-Hudaydah,Yemen,1950.0,30000.0
Sana'a',Yemen,1950.0,50000.0
Ta'izz,Yemen,1950.0,20000.0
Lusaka,Zambia,1950.0,30000.0
Sofia,Bulgaria,1955.0,620000.0
Mandalay,Myanmar,1955.0,200000.0
Nay Pyi Taw,Myanmar,1955.0,0.0
Yangon,Myanmar,1955.0,1440000.0
Minsk,Belarus,1955.0,410000.0
Phnum Pnh,Cambodia,1955.0,380000.0
El Djazar,Algeria,1955.0,620000.0
Wahran,Algeria,1955.0,290000.0
Douala,Cameroon,1955.0,120000.0
Yaound,Cameroon,1955.0,50000.0
Calgary,Canada,1955.0,190000.0
Edmonton,Canada,1955.0,230000.0
Montral,Canada,1955.0,1650000.0
Ottawa-Gatineau,Canada,1955.0,340000.0
Toronto,Canada,1955.0,1360000.0
Vancouver,Canada,1955.0,590000.0
N'Djamna,Chad,1955.0,40000.0
Santiago,Chile,1955.0,1620000.0
Valparaso,Chile,1955.0,380000.0
"Anshan, Liaoning",China,1955.0,600000.0
Anshun,China,1955.0,210000.0
Anyang,China,1955.0,140000.0
Baoding,China,1955.0,210000.0
Baotou,China,1955.0,590000.0
Beijing,China,1955.0,4630000.0
Bengbu,China,1955.0,270000.0
Benxi,China,1955.0,470000.0
Changchun,China,1955.0,920000.0
Changde,China,1955.0,350000.0
"Changsha, Hunan",China,1955.0,670000.0
"Changzhou, Jiangsu",China,1955.0,140000.0
Chengdu,China,1955.0,920000.0
Chifeng,China,1955.0,160000.0
Chongqing,China,1955.0,1840000.0
Dalian,China,1955.0,850000.0
Dandong,China,1955.0,270000.0
Daqing,China,1955.0,310000.0
"Datong, Shanxi",China,1955.0,660000.0
"Dongguan, Guangdong",China,1955.0,450000.0
Foshan,China,1955.0,110000.0
"Fushun, Liaoning",China,1955.0,730000.0
Fuxin,China,1955.0,200000.0
Fuyang,China,1955.0,60000.0
"Fuzhou, Fujian",China,1955.0,600000.0
"Guangzhou, Guangdong",China,1955.0,1680000.0
Guilin,China,1955.0,180000.0
Guiyang,China,1955.0,750000.0
Haerbin,China,1955.0,1280000.0
Handan,China,1955.0,440000.0
Hangzhou,China,1955.0,740000.0
Hefei,China,1955.0,310000.0
Hengyang,China,1955.0,200000.0
Heze,China,1955.0,440000.0
Hohhot,China,1955.0,360000.0
Huai'an,China,1955.0,860000.0
Huaibei,China,1955.0,230000.0
Huainan,China,1955.0,560000.0
Huzhou,China,1955.0,710000.0
Jiamusi,China,1955.0,250000.0
Jiaozuo,China,1955.0,240000.0
Jiaxing,China,1955.0,480000.0
Jilin,China,1955.0,460000.0
